web-scraper-order,web-scraper-start-url,venue,venue-href,tabs,tabs-href,Pos,Num,Driver,Car,Time,Gap,Laps
"1601159330-2345","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/starting-grid.html","5","4","Lando
                    Norris
                    NOR","McLaren Renault","1:25.782","null","null"
"1601159219-1770","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1052/italy/pit-stop-summary.html","null","7","Kimi
                    Räikkönen
                    RAI","Alfa Romeo Racing Ferrari","25:20.985","null","null"
"1601159182-1515","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-3.html","11","31","Esteban
                    Ocon
                    OCO","Renault","1:17.746","+1.216s","13"
"1601159206-1677","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-2.html","9","16","Charles
                    Leclerc
                    LEC","Ferrari","1:21.503","+1.311s","32"
"1601159219-1764","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1052/italy/pit-stop-summary.html","null","23","Alexander
                    Albon
                    ALB","Red Bull Racing Honda","29.661","null","null"
"1601159333-2380","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/pit-stop-summary.html","null","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","28.273","null","null"
"1601159219-1754","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1052/italy/pit-stop-summary.html","null","44","Lewis
                    Hamilton
                    HAM","Mercedes","24.671","null","null"
"1601159379-2608","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1046/austria/qualifying.html","3","55","Carlos
                    Sainz
                    SAI","McLaren Renault","null","null","33"
"1601159246-1923","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1051/belgium/pit-stop-summary.html","null","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","22.681","null","null"
"1601159296-2160","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/qualifying.html","1","77","Valtteri
                    Bottas
                    BOT","Mercedes","null","null","20"
"1601159168-1448","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1054/russia/qualifying.html","4","11","Sergio
                    Perez
                    PER","Racing Point BWT Mercedes","null","null","15"
"1601159252-1952","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1051/belgium/race-result.html","8","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","null","null","44"
"1601159358-2497","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1047/hungary/starting-grid.html","17","26","Daniil
                    Kvyat
                    KVY","AlphaTauri Honda","1:16.204","null","null"
"1601159362-2541","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/pit-stop-summary.html","null","77","Valtteri
                    Bottas
                    BOT","Mercedes","21.572","null","null"
"1601159362-2530","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/pit-stop-summary.html","null","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","22.591","null","null"
"1601159246-1908","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1051/belgium/pit-stop-summary.html","null","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","23.636","null","null"
"1601159171-1468","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1054/russia/starting-grid.html","4","11","Sergio
                    Perez
                    PER","Racing Point BWT Mercedes","1:32.317","null","null"
"1601159252-1964","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1051/belgium/race-result.html","NC","55","Carlos
                    Sainz
                    SAI","McLaren Renault","null","null","0"
"1601159236-1865","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-3.html","20","5","Sebastian
                    Vettel
                    VET","Ferrari","1:45.420","+2.165s","12"
"1601159199-1657","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1053/italy/race-result.html","9","7","Kimi
                    Räikkönen
                    RAI","Alfa Romeo Racing Ferrari","null","null","59"
"1601159219-1773","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1052/italy/pit-stop-summary.html","null","4","Lando
                    Norris
                    NOR","McLaren Renault","25:22.009","null","null"
"1601159385-2647","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1046/austria/pit-stop-summary.html","null","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","21.950","null","null"
"1601159236-1856","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-3.html","11","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","1:44.508","+1.253s","14"
"1601159199-1658","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1053/italy/race-result.html","10","5","Sebastian
                    Vettel
                    VET","Ferrari","null","null","59"
"1601159246-1917","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1051/belgium/pit-stop-summary.html","null","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","23.689","null","null"
"1601159288-2137","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-2.html","18","20","Kevin
                    Magnussen
                    MAG","Haas Ferrari","1:27.582","+1.976s","28"
"1601159379-2607","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1046/austria/qualifying.html","2","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","null","null","34"
"1601159164-1438","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-3.html","14","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","1:35.257","+1.978s","14"
"1601159186-1536","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1053/italy/qualifying.html","12","26","Daniil
                    Kvyat
                    KVY","AlphaTauri Honda","null","null","11"
"1601159296-2161","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/qualifying.html","2","44","Lewis
                    Hamilton
                    HAM","Mercedes","null","null","20"
"1601159392-2694","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1046/austria/race-result.html","10","26","Daniil
                    Kvyat
                    KVY","AlphaTauri Honda","null","null","70"
"1601159279-2082","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1050/spain/fastest-laps.html","3","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","1:20.409","null","null"
"1601159189-1561","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1053/italy/starting-grid.html","17","99","Antonio
                    Giovinazzi
                    GIO","Alfa Romeo Racing Ferrari","1:17.220","null","null"
"1601159246-1921","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1051/belgium/pit-stop-summary.html","null","11","Sergio
                    Perez
                    PER","Racing Point BWT Mercedes","23.175","null","null"
"1601159362-2532","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/pit-stop-summary.html","null","20","Kevin
                    Magnussen
                    MAG","Haas Ferrari","23.621","null","null"
"1601159182-1521","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-3.html","17","3","Daniel
                    Ricciardo
                    RIC","Renault","1:18.142","+1.612s","12"
"1601159269-2014","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1050/spain/qualifying.html","10","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","null","null","18"
"1601159161-1411","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-2.html","7","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","1:35.048","+1.529s","30"
"1601159222-1801","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1052/italy/fastest-laps.html","16","6","Nicholas
                    Latifi
                    LAT","Williams Mercedes","1:24.999","null","null"
"1601159250-1938","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1051/belgium/fastest-laps.html","13","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","1:49.136","null","null"
"1601159236-1846","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-3.html","1","44","Lewis
                    Hamilton
                    HAM","Mercedes","1:43.255","","9"
"1601159193-1588","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1053/italy/pit-stop-summary.html","null","4","Lando
                    Norris
                    NOR","McLaren Renault","24:05.614","null","null"
"1601159330-2350","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/starting-grid.html","10","5","Sebastian
                    Vettel
                    VET","Ferrari","1:26.339","null","null"
"1601159318-2281","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-2.html","1","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","1:27.274","","29"
"1601159186-1525","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1053/italy/qualifying.html","1","44","Lewis
                    Hamilton
                    HAM","Mercedes","null","null","14"
"1601159288-2124","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-2.html","5","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","1:26.501","+0.895s","24"
"1601159358-2498","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1047/hungary/starting-grid.html","18","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","1:16.407","null","null"
"1601159233-1844","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-2.html","19","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","1:45.834","+2.090s","12"
